original_path	new_path	reason	size_bytes	md5
C:\ALL THEORY\AUDIT_SU3_glueball_mass_prediction_report_v1.md	C:\ALL THEORY\QUARANTINE\duplicates_exact\AUDIT_SU3_glueball_mass_prediction_report_v1.md	byte-identical copy of programs/one_plaquette/glueball_mass_prediction/AUDIT_SU3_glueball_mass_prediction_report_v1.md	2617	9056e16d64729a1c7f528e6367a63925
C:\ALL THEORY\NOTE_SU3_glueball_ratio_continuum_diagnostic_2026-06-14.md	C:\ALL THEORY\QUARANTINE\duplicates_exact\NOTE_SU3_glueball_ratio_continuum_diagnostic_2026-06-14.md	byte-identical copy of programs/one_plaquette/glueball_mass_prediction/NOTE_SU3_glueball_ratio_continuum_diagnostic_2026-06-14.md	3912	8685d0bf7bfae1c42f259317b5ac662f
C:\ALL THEORY\GLUEBALL_SOURCE_CONSOLIDATION_GUIDE_2026-08-20.md	C:\ALL THEORY\QUARANTINE\superseded\GLUEBALL_SOURCE_CONSOLIDATION_GUIDE_2026-08-20.md	superseded by ..._v3.md	19607	6583847015f2ceebcdf24ce1b23ac122
C:\ALL THEORY\GLUEBALL_SOURCE_CONSOLIDATION_GUIDE_2026-08-20_v2.md	C:\ALL THEORY\QUARANTINE\superseded\GLUEBALL_SOURCE_CONSOLIDATION_GUIDE_2026-08-20_v2.md	superseded by ..._v3.md	18966	4e2967fb3300c4e28fbb1280fcd69daf
C:\ALL THEORY\GLUEBALL_SOURCE_CONSOLIDATION_GUIDE_2026-08-20_v3.md	C:\ALL THEORY\corpus\GLUEBALL_SOURCE_CONSOLIDATION_GUIDE_2026-08-20_v3.md	Aug-20 authority stack	19642	ef5e8796a5f9102d94fb092aca5d86e2
C:\ALL THEORY\GLUEBALL_STRING_NORMALIZATION_CORRECTION_V2.zip	C:\ALL THEORY\QUARANTINE\duplicates_exact\GLUEBALL_STRING_NORMALIZATION_CORRECTION_V2.zip	byte-identical copy of ZIP ARCHIVES/GLUEBALL_STRING_NORMALIZATION_CORRECTION_V2.zip	39112	29347083fbf3dedace53c8f7c8bfa92a
C:\ALL THEORY\Godot_v4.7.1-stable_win64.exe.zip	C:\ALL THEORY\QUARANTINE\unrelated\Godot_v4.7.1-stable_win64.exe.zip	unrelated to the mathematics corpus	84198557	581ea6dba661ecfd65010a7c55cf0c93
C:\ALL THEORY\NB_HAAR_hodge_electric_resolvent_engine_v0_6.ipynb	C:\ALL THEORY\programs\hodge_haar_krylov\NB_HAAR_hodge_electric_resolvent_engine_v0_6.ipynb	pattern ^(Hodge|HODGE).*(Haar|Krylov|Feshbach|Mass_String|RESOLVENT).*\.(ipynb|py)$	53485	24f5220753849332a3f50d0d3c32739f
C:\ALL THEORY\NB_HAAR_hodge_anchored_graph_krylov_production_v1.ipynb	C:\ALL THEORY\programs\hodge_haar_krylov\NB_HAAR_hodge_anchored_graph_krylov_production_v1.ipynb	pattern ^(Hodge|HODGE).*(Haar|Krylov|Feshbach|Mass_String|RESOLVENT).*\.(ipynb|py)$	21278	e22b82e040c9cf6013bcc5ede4641d5d
C:\ALL THEORY\THM_FLUX_hodge_cellular_circuit_mobility_theorem.md	C:\ALL THEORY\theory\notes\THM_FLUX_hodge_cellular_circuit_mobility_theorem.md	pattern .*\.md$	18498	2e29b98d01424fc36ebfcef588523dbf
