old_path	new_path	size_bytes	md5
numerics/notebooks/op12_a100_preflight.ipynb	numerics/notebooks/NB_OP1_op12_a100_preflight.ipynb	33490	9723768e69bf07a12d2a8b9464ee2707
numerics/notebooks/op12_a100_screen_v2 (1).ipynb	numerics/notebooks/NB_OP1_op12_a100_screen_v2_alt.ipynb	64764	0f96a00b26f684f3033fb62ba6c2cf0b
numerics/notebooks/op12_a100_screen_v2.ipynb	numerics/notebooks/NB_OP1_op12_a100_screen_v2.ipynb	26376	143a3a1697bad6a583925cbf45ae1a8d
numerics/notebooks/su2_4d_complete_FOURIER (1).ipynb	numerics/notebooks/NB_SU2_4d_fourier_alt.ipynb	269348	ee2af371f99ac63c7ec76f00aa7101a5
numerics/notebooks/su2_4d_complete_standalone_FIXED (1).ipynb	numerics/notebooks/NB_SU2_4d_standalone_fixed_alt.ipynb	180756	32ee1d292073060e6fce932a03ba5a0e
numerics/notebooks/su3_a100_master (2).ipynb	numerics/notebooks/NB_SU3_a100_master_alt2.ipynb	49458	ac6d74c2388a6bbe2c77d4033bcacf98
numerics/notebooks/su3_y4_encoding_benchmark (1).ipynb	numerics/notebooks/NB_Y4_su3_encoding_benchmark_alt.ipynb	31805	61cb9643f7d72e338e0036d9e23a8e92
numerics/notebooks/su3_y4_encoding_benchmark.ipynb	numerics/notebooks/NB_Y4_su3_encoding_benchmark.ipynb	26724	bd0be81205abe2eade7116769e64bf1f
numerics/notebooks/su3_y4_encoding_benchmark_(1).ipynb	numerics/notebooks/NB_Y4_su3_encoding_benchmark_alt.ipynb	31805	61cb9643f7d72e338e0036d9e23a8e92
numerics/notebooks/ymcirc_pyclebsch_y4_microscopic_audit.ipynb	numerics/notebooks/NB_Y4_ymcirc_pyclebsch_microscopic_audit.ipynb	19981	ec68ace07253c74bfebc59b78545207a
numerics/op12_theta/KCHAIN_LEDGER_2026-06-11.md	numerics/op12_theta/NOTE_OP1_kchain_ledger_2026-06-11.md	5511	896fc862d369c60673c1ec8464869187
numerics/op12_theta/RED_DAVIES_RESULTS_2026-06-12.md	numerics/op12_theta/NOTE_OP1_red_davies_results_2026-06-12.md	2856	d57a0f926fcbb0dab4a12a90dadfa4ec
numerics/op12_theta/RESULTS_2026-06-11.md	numerics/op12_theta/NOTE_OP1_results_2026-06-11.md	6225	15279d856a4d09d6b8263d2885dafb7d
numerics/op12_theta/kchain_ledger.json	numerics/op12_theta/CERT_OP1_kchain_ledger.json	2372	9873b6548da7b7f731b7e23ac3bb21a5
numerics/op12_theta/kchain_ledger.py	numerics/op12_theta/ENGINE_OP1_kchain_ledger.py	5210	1c1299614a73d043b852cead4de12103
