u,lowest_energy_O2_normal_form,second_energy_O2_normal_form,gap,lowest_shell4_weight,lowest_shell6_lower_weight,lowest_shell6_middle_weight,lowest_shell6_upper_weight
0.074,2.7398942575796155,3.8521918189815736,1.1122975614019581,0.9930092577766023,0.0019605561942797533,0.0035019665403857076,0.0015282194887320944
0.075,2.7408499046614203,3.8491305596089975,1.1082806549475772,0.9927807287674126,0.00202830821956595,0.003616566593286184,0.0015743964197355291
0.076,2.7418036670297568,3.846041139197587,1.10423747216783,0.9925469253436212,0.002097805445733947,0.0037338143907267073,0.0016214548199179116
0.077,2.7427554874256876,3.842923569718418,1.1001680822927304,0.9923077424103716,0.0021690888516507794,0.003853762437898253,0.001669406300079465
0.078,2.7437053072873483,3.8397778633962747,1.0960725561089264,0.9920630720193035,0.0022422006424766315,0.003976464635472881,0.0017182627027465503
0.079,2.7446530667196516,3.836604032714802,1.0919509659951503,0.991812803287078,0.002317184290134742,0.0041019763176857555,0.0017680361051014162
0.08,2.7455987044631107,3.833402090421744,1.0878033859586331,0.9915568223112189,0.0023940845752945987,0.0042303542915738965,0.0018187388219123469
0.081,2.7465421578617466,3.830172049534351,1.0836298916726044,0.9912950120832033,0.002472947630930268,0.004361656877406117,0.0018703834084599588
0.082,2.747483362830055,3.8269139233449074,1.0794305605148526,0.9910272523986886,0.0025538209875178596,0.004495943950338813,0.0019229826634548422
0.083,2.748422253819005,3.8236277254263986,1.0752054716073935,0.9907534197647861,0.002636753619938918,0.004633276983333554,0.001976549631941473
0.084,2.7493587637810326,3.820313469638352,1.0709547058573192,0.9904733873042834,0.002721795996160296,0.004773719091373293,0.002031097608183073
0.085,2.7502928241340054,3.8169711701327653,1.0666783459987599,0.9901870246567012,0.002809000127762905,0.004917335077014506,0.0020866401385214476
0.08600000000000001,2.7512243647241195,3.8136008413602864,1.062376476636167,0.9898941978760853,0.0028984196223955775,0.005064191477313638,0.002143191024205407
0.08700000000000001,2.7521533137876983,3.810202498076434,1.0580491842887358,0.9895947693254172,0.0029901097382340385,0.005214356612167371,0.002200764324181287
0.088,2.753079597911856,3.8067761553480706,1.0536965574362145,0.9892885975675284,0.0030841274405275037,0.00536790063410636,0.0022593743578380038
0.089,2.7540031419939974,3.8033218285599926,1.0493186865659951,0.9889755372523977,0.0031805314603196915,0.005524895579583467,0.002319035707698996
0.09,2.7549238692001023,3.799839533421711,1.0449156642216089,0.9886554390007137,0.003279382355435066,0.005685415421798286,0.0023797632220527603
0.091,2.7558417009217697,3.7963292859743816,1.0404875850526119,0.9883281492835628,0.0033807425738241656,0.005849536125099807,0.002441572017512827
0.092,2.756756556731971,3.7927911025979437,1.0360345458659728,0.9879935102981243,0.0034846765193672093,0.0060173357010109806,0.0025044774814977915
0.093,2.7576683543394895,3.7892250000184093,1.0315566456789198,0.9876513598392217,0.0035912506202388306,0.006188894265918489,0.0025684952746211037
0.094,2.758577009541972,3.7856309953153544,1.0270539857733825,0.9873015311666071,0.0037005333999411767,0.006364294100472335,0.0026336413329795163
0.095,2.7594824361775854,3.7820091059296095,1.022526669752024,0.9869438528678132,0.003812595551117999,0.006543619710740186,0.0026999318703286404
0.096,2.760384546075201,3.77835934967112,1.0179748035959193,0.9865781487164378,0.003927510012266955,0.006726957891162144,0.0027673833801329776
0.097,2.761283249003081,3.7746817447270242,1.0133984957239432,0.9862042375256993,0.0040453520474722,0.00691439778935164,0.0028360126374769833
0.098,2.762178452616011,3.770976309669942,1.0087978570539309,0.9858219329971019,0.004166199329285615,0.007106030972789247,0.0029058367008230617
0.099,2.763070062400823,3.7672430634664495,1.0041730010656265,0.9854310435640532,0.004290132024889844,0.007301951497455657,0.0029768729136010496
0.1,2.7639579816202673,3.7634820254857733,0.999524043865506,0.9850313722302534,0.004417232885682636,0.0075022559784508605,0.003049138905612947
0.101,2.764842111255171,3.759693215508754,0.9948511042535828,0.9846227164026907,0.004547587340427627,0.007707043662646169,0.0031226525942355905
0.10200000000000001,2.7657223499448387,3.7558766537369426,0.9901543037921039,0.9842048677190568,0.004681283592124423,0.00791641650341638,0.003197432185402767
0.10300000000000001,2.7665985939256204,3.752032360802004,0.9854337668763837,0.983777611869399,0.004818412718755848,0.00813047923749813,0.003273496174346976
0.10400000000000001,2.767470736967607,3.748160357775335,0.9806896208077283,0.9833407284118209,0.004959068778078135,0.008349339464021012,0.0033508633460799307
0.105,2.7683386703093817,3.7442606661778863,0.9759219958685046,0.982893990582026,0.005103348916627521,0.008573107725757067,0.0034295527755893625
0.106,2.769202282590764,3.740333307990292,0.971131025399528,0.9824371650965159,0.005251353483122794,0.00880189759263319,0.0035095838277282615
0.107,2.770061459783489,3.736378305663208,0.9663168458797187,0.9819700119492237,0.005403186146453585,0.00903582574755111,0.0035909761567715277
0.108,2.7709160851197443,3.7323956821279047,0.9614795970081604,0.9814922842013807,0.0055589540184497405,0.009275012074556704,0.0036737497056125883
0.109,2.7717660390185044,3.728385460807152,0.9566194217886475,0.9810037277643895,0.0057187677816381175,0.009519579749400592,0.0037579247045718056
0.11,2.7726111990095896,3.7243476656263512,0.9517364666167616,0.9805040811754856,0.005882741822200013,0.009769655332528552,0.003843521669785904
0.111,2.7734514396553713,3.7202823210249387,0.9468308813695674,0.97999307536596,0.006050994368354228,0.010025368864539846,0.003930561401146217
0.112,2.7742866324700493,3.716189451968082,0.9419028194980328,0.9794704334217051,0.006223647634396866,0.010286853964146959,0.004019064979751267
0.113,2.7751166458364356,3.7120690839586445,0.936952438122209,0.9789358703358498,0.006400827970643254,0.01055424792866951,0.004109053764837232
0.114,2.7759413449201356,3.7079212430494604,0.9319798981293248,0.9783890927532382,0.00658266601952406,0.01082769183708997,0.004200549390147584
0.115,2.776760591581079,3.7037459558558927,0.9269853642748136,0.9778297987065031,0.006769296878100963,0.011107330655695562,0.004293573759700612
0.116,2.7775742442822873,3.699543249568673,0.9219690052863858,0.9772576773434847,0.006960860267277321,0.011393313346326822,0.004388149042911381
0.117,2.7783821579958015,3.6953131519670976,0.9169309939712962,0.9766724086457398,0.007157500707991219,0.011685792977247221,0.004484297669021778
0.11800000000000001,2.7791841841056857,3.6910556914325054,0.9118715073268198,0.9760736631378766,0.007359367704690218,0.011984926836643364,0.004582042320789615
0.11900000000000001,2.7799801703079963,3.686770896962047,0.9067907266540507,0.9754611015874559,0.007566615936400626,0.012290876548758777,0.004681405927384809
0.12,2.7807699605076386,3.682458798182836,0.9016888376751973,0.9748343746951911,0.0077794054557146506,0.012603808192656588,0.004782411656437648
0.121,2.781553394712007,3.6781194253663814,0.8965660306543746,0.9741931227751847,0.007997901896035052,0.012923892423599438,0.0048850829051808
0.122,2.7823303089212983,3.6737528094433736,0.8914225005220753,0.9735369754249232,0.008222276687428573,0.013251304597024907,0.004989443290623421
